Date,Open,High,Low,Close,Volume,Adj Close
31-12-10,26.57,27.25,26.5,26.629999,1417900,26.629999
03-01-11,26.84,27,25.9,26.620001,1283000,26.620001
04-01-11,26.66,26.950001,26.02,26.67,1187400,26.67
05-01-11,26.48,26.9,26.190001,26.83,1446700,26.83
06-01-11,26.83,28,26.809999,27.879999,2061200,27.879999
07-01-11,28,28.58,27.9,28.24,2247900,28.24
10-01-11,28.17,28.68,28.049999,28.450001,1342700,28.450001
11-01-11,28.59,28.709999,26.92,26.959999,1710200,26.959999
12-01-11,27.01,27.4,26.52,26.959999,964400,26.959999
13-01-11,26.959999,26.969999,26.16,26.219999,723600,26.219999
14-01-11,26.15,26.58,25.610001,25.75,1192000,25.75
18-01-11,25.48,25.639999,24.75,25.639999,1621700,25.639999
19-01-11,25.27,25.469999,23.75,24.030001,2371500,24.030001
20-01-11,24.030001,24.450001,22.370001,22.620001,2279900,22.620001
21-01-11,23.120001,23.59,22.709999,23.040001,1217000,23.040001
24-01-11,23.530001,24.809999,23.23,24.49,1645100,24.49
25-01-11,24.65,24.889999,24.02,24.68,1271500,24.68
26-01-11,24.709999,24.879999,24.1,24.75,1079900,24.75
27-01-11,24.74,25.08,24.530001,24.92,895700,24.92
28-01-11,24.879999,24.879999,23.75,24.01,1048400,24.01
31-01-11,24.049999,24.120001,23.5,24.1,830300,24.1
01-02-11,24.309999,24.73,23.540001,23.91,707800,23.91
02-02-11,24.16,24.18,23.67,23.940001,569500,23.940001
03-02-11,23.82,23.9,23.15,23.629999,512000,23.629999
04-02-11,23.440001,23.67,23.219999,23.459999,544000,23.459999
07-02-11,23.26,23.26,22.879999,23.07,895100,23.07
08-02-11,23.780001,25.25,23,24.49,3504900,24.49
09-02-11,24.129999,24.18,22.790001,23.209999,2635600,23.209999
10-02-11,23.26,23.639999,22.809999,23.219999,836100,23.219999
11-02-11,23.25,23.75,22.940001,23.25,634500,23.25
14-02-11,23.639999,24.139999,23.049999,23.08,1283100,23.08
15-02-11,23.01,23.17,22.559999,22.84,953700,22.84
16-02-11,23.1,24.969999,23.07,24.73,4115100,24.73
17-02-11,24.629999,25.49,23.549999,23.6,2618400,23.6
18-02-11,23.33,23.49,22.959999,23.18,2370700,23.18
22-02-11,22.879999,23,21.780001,21.870001,2064600,21.870001
23-02-11,22.18,22.5,21.110001,21.83,1605600,21.83
24-02-11,21.780001,22.58,21.5,22.530001,1055300,22.530001
25-02-11,22.809999,23.85,22.690001,23.610001,1346300,23.610001
28-02-11,23.74,24.1,23.5,23.889999,1051200,23.889999
01-03-11,24.049999,24.32,23.700001,23.940001,1106400,23.940001
02-03-11,23.82,24.280001,23.73,24.02,663300,24.02
03-03-11,24.48,24.790001,24.059999,24.360001,640200,24.360001
04-03-11,24.48,24.99,23.780001,24.950001,1580100,24.950001
07-03-11,24.93,25.4,24.700001,24.940001,2033600,24.940001
08-03-11,24.6,24.959999,24,24.66,1399900,24.66
09-03-11,24.66,24.99,24.27,24.719999,924800,24.719999
10-03-11,24.440001,24.49,23.73,24.01,1017000,24.01
11-03-11,23.85,24.25,23.530001,24.07,930800,24.07
14-03-11,23.82,24,23.200001,23.25,1166000,23.25
15-03-11,22.200001,22.959999,21.799999,22.950001,1318800,22.950001
16-03-11,22.860001,23.25,22.690001,22.82,1169700,22.82
17-03-11,23.24,23.43,22.639999,22.809999,922600,22.809999
18-03-11,23.190001,23.190001,22.51,22.959999,687900,22.959999
21-03-11,23.049999,23.049999,22.540001,22.73,411700,22.73
22-03-11,22.73,22.860001,22,22.190001,582900,22.190001
23-03-11,22.110001,22.27,21.77,22.209999,422800,22.209999
24-03-11,22.139999,22.379999,21.98,22.33,462200,22.33
25-03-11,22.43,23,22.4,22.75,568000,22.75
28-03-11,22.700001,23.540001,22.549999,23.25,1058100,23.25
29-03-11,23.299999,24,23.209999,23.92,755400,23.92
30-03-11,24.110001,24.49,23.01,23.709999,1223300,23.709999
31-03-11,26.549999,28.709999,26.5,27.75,11517800,27.75
01-04-11,27.450001,28.18,26.57,26.66,2864800,26.66
04-04-11,26.83,27,25.23,25.83,2609300,25.83
05-04-11,25.9,27,25.690001,26.700001,3180900,26.700001
06-04-11,26.99,27.01,25.799999,26.49,1288300,26.49
07-04-11,26.85,27.940001,26.450001,27.24,2810300,27.24
08-04-11,27.58,27.6,26.360001,26.49,1946400,26.49
11-04-11,26.469999,26.530001,25.02,25.27,1369400,25.27
12-04-11,25.08,25.209999,24.299999,24.65,1357400,24.65
13-04-11,25.129999,25.690001,24.809999,24.93,1211500,24.93
14-04-11,24.870001,25.280001,24.200001,25.139999,983400,25.139999
15-04-11,25.65,26.18,25.41,25.58,943500,25.58
18-04-11,25.129999,25.620001,24.360001,25.030001,1033900,25.030001
19-04-11,25.26,25.26,24.65,25.16,548700,25.16
20-04-11,25.700001,26.09,25.299999,25.75,837200,25.75
21-04-11,25.85,26.98,25.59,26.74,1386100,26.74
25-04-11,26.700001,26.73,25.969999,26.389999,800900,26.389999
26-04-11,26.66,27.25,26.309999,26.93,1400000,26.93
27-04-11,26.93,27.360001,26.629999,27.08,996900,27.08
28-04-11,27.07,27.690001,26.719999,27.66,1600000,27.66
29-04-11,27.690001,27.870001,27.42,27.6,726000,27.6
02-05-11,27.6,27.799999,27.059999,27.450001,784600,27.450001
03-05-11,27.379999,27.389999,26.5,26.870001,913900,26.870001
04-05-11,26.780001,27,25.75,26.690001,1044500,26.690001
05-05-11,27.200001,27.440001,26.17,26.440001,1218500,26.440001
06-05-11,26.9,27.700001,26.620001,27.120001,981700,27.120001
09-05-11,27,28,26.85,27.91,916400,27.91
10-05-11,28.24,28.950001,27.91,28.33,1535300,28.33
11-05-11,28.200001,28.299999,26.92,27.07,962500,27.07
12-05-11,27.07,27.74,26.65,27.67,628000,27.67
13-05-11,28,28.190001,27.299999,27.549999,661500,27.549999
16-05-11,27.99,27.99,26.549999,26.6,755700,26.6
17-05-11,27,27,25.719999,25.959999,1234200,25.959999
18-05-11,26.1,26.469999,25.52,26.35,729500,26.35
19-05-11,27.030001,28.440001,26.6,28.200001,2655100,28.200001
20-05-11,28.26,28.280001,27.35,27.969999,842500,27.969999
23-05-11,27.620001,27.620001,26.620001,26.82,863600,26.82
24-05-11,27.02,27.5,26.6,26.719999,613700,26.719999
25-05-11,26.9,29.01,26.17,28.98,4693100,28.98
26-05-11,28.82,29.76,28.1,29.48,3336900,29.48
27-05-11,29.540001,29.67,28.82,29.549999,1687100,29.549999
31-05-11,29.690001,30.280001,29.549999,30.139999,3290500,30.139999
01-06-11,30,30.1,28.379999,28.52,1529900,28.52
02-06-11,28.52,29.32,28.51,28.76,986300,28.76
03-06-11,29.950001,31.5,29.5,30.129999,6209200,30.129999
06-06-11,30.1,30.129999,28.26,28.700001,2331100,28.700001
07-06-11,28.940001,29.389999,28.26,28.370001,1222100,28.370001
08-06-11,28.440001,28.6,27.02,27.120001,1695900,27.120001
09-06-11,27.43,28.1,27.1,27.620001,1603200,27.620001
10-06-11,27.52,28.299999,27.35,27.860001,1566600,27.860001
13-06-11,28.07,28.879999,27.879999,28.43,1713400,28.43
